0,1,2,3,4
"Census Tract 4735, Allegheny County, Pennsylvania",3963,42,003,473500
"Census Tract 4736.01, Allegheny County, Pennsylvania",3821,42,003,473601
"Census Tract 4736.02, Allegheny County, Pennsylvania",4495,42,003,473602
"Census Tract 4741.01, Allegheny County, Pennsylvania",3620,42,003,474101
"Census Tract 4741.02, Allegheny County, Pennsylvania",3718,42,003,474102
"Census Tract 4742.01, Allegheny County, Pennsylvania",2528,42,003,474201
"Census Tract 4742.02, Allegheny County, Pennsylvania",5021,42,003,474202
"Census Tract 4742.03, Allegheny County, Pennsylvania",4634,42,003,474203
"Census Tract 4751.01, Allegheny County, Pennsylvania",4623,42,003,475101
"Census Tract 4751.02, Allegheny County, Pennsylvania",1555,42,003,475102
"Census Tract 4752, Allegheny County, Pennsylvania",4748,42,003,475200
"Census Tract 4753.01, Allegheny County, Pennsylvania",4668,42,003,475301
"Census Tract 4753.03, Allegheny County, Pennsylvania",3948,42,003,475303
"Census Tract 4753.04, Allegheny County, Pennsylvania",5610,42,003,475304
"Census Tract 4754.01, Allegheny County, Pennsylvania",3964,42,003,475401
"Census Tract 4754.02, Allegheny County, Pennsylvania",3106,42,003,475402
"Census Tract 4761, Allegheny County, Pennsylvania",4852,42,003,476100
"Census Tract 4762, Allegheny County, Pennsylvania",3436,42,003,476200
"Census Tract 4771, Allegheny County, Pennsylvania",3511,42,003,477100
"Census Tract 4772, Allegheny County, Pennsylvania",4156,42,003,477200
"Census Tract 4773, Allegheny County, Pennsylvania",6206,42,003,477300
"Census Tract 4781, Allegheny County, Pennsylvania",4132,42,003,478100
"Census Tract 4782, Allegheny County, Pennsylvania",5418,42,003,478200
"Census Tract 4790, Allegheny County, Pennsylvania",1972,42,003,479000
"Census Tract 4801.01, Allegheny County, Pennsylvania",5152,42,003,480101
"Census Tract 4801.02, Allegheny County, Pennsylvania",3184,42,003,480102
"Census Tract 4802, Allegheny County, Pennsylvania",3318,42,003,480200
"Census Tract 4803, Allegheny County, Pennsylvania",3470,42,003,480300
"Census Tract 4804, Allegheny County, Pennsylvania",4670,42,003,480400
"Census Tract 4810, Allegheny County, Pennsylvania",3362,42,003,481000
"Census Tract 4825, Allegheny County, Pennsylvania",1720,42,003,482500
"Census Tract 4838, Allegheny County, Pennsylvania",3142,42,003,483800
"Census Tract 4843, Allegheny County, Pennsylvania",3521,42,003,484300
"Census Tract 4845, Allegheny County, Pennsylvania",5631,42,003,484500
"Census Tract 4846, Allegheny County, Pennsylvania",2153,42,003,484600
"Census Tract 4850, Allegheny County, Pennsylvania",1165,42,003,485000
"Census Tract 4867, Allegheny County, Pennsylvania",2185,42,003,486700
"Census Tract 4868, Allegheny County, Pennsylvania",1881,42,003,486800
"Census Tract 4869, Allegheny County, Pennsylvania",1468,42,003,486900
"Census Tract 4870, Allegheny County, Pennsylvania",1741,42,003,487000
"Census Tract 4881, Allegheny County, Pennsylvania",2290,42,003,488100
"Census Tract 4882, Allegheny County, Pennsylvania",3487,42,003,488200
"Census Tract 4883, Allegheny County, Pennsylvania",2127,42,003,488300
"Census Tract 4884, Allegheny County, Pennsylvania",4355,42,003,488400
"Census Tract 4885, Allegheny County, Pennsylvania",3017,42,003,488500
"Census Tract 4886, Allegheny County, Pennsylvania",4877,42,003,488600
"Census Tract 4890.01, Allegheny County, Pennsylvania",4427,42,003,489001
"Census Tract 4890.02, Allegheny County, Pennsylvania",3844,42,003,489002
"Census Tract 4900.02, Allegheny County, Pennsylvania",4776,42,003,490002
"Census Tract 4900.03, Allegheny County, Pennsylvania",3838,42,003,490003
"Census Tract 4900.04, Allegheny County, Pennsylvania",4856,42,003,490004
"Census Tract 4911.01, Allegheny County, Pennsylvania",6785,42,003,491101
"Census Tract 4912, Allegheny County, Pennsylvania",1960,42,003,491200
"Census Tract 4927, Allegheny County, Pennsylvania",2029,42,003,492700
"Census Tract 4928, Allegheny County, Pennsylvania",2471,42,003,492800
"Census Tract 4929, Allegheny County, Pennsylvania",2219,42,003,492900
"Census Tract 4940, Allegheny County, Pennsylvania",1437,42,003,494000
"Census Tract 4950, Allegheny County, Pennsylvania",3354,42,003,495000
"Census Tract 4961.01, Allegheny County, Pennsylvania",3153,42,003,496101
"Census Tract 4961.02, Allegheny County, Pennsylvania",4369,42,003,496102
"Census Tract 4962, Allegheny County, Pennsylvania",5724,42,003,496200
"Census Tract 4970, Allegheny County, Pennsylvania",1040,42,003,497000
"Census Tract 4980, Allegheny County, Pennsylvania",2554,42,003,498000
"Census Tract 4993, Allegheny County, Pennsylvania",1634,42,003,499300
"Census Tract 4994, Allegheny County, Pennsylvania",2810,42,003,499400
"Census Tract 5003, Allegheny County, Pennsylvania",3754,42,003,500300
"Census Tract 5010, Allegheny County, Pennsylvania",1650,42,003,501000
"Census Tract 5030.02, Allegheny County, Pennsylvania",6025,42,003,503002
"Census Tract 5041, Allegheny County, Pennsylvania",5381,42,003,504100
"Census Tract 5070, Allegheny County, Pennsylvania",2111,42,003,507000
"Census Tract 5080, Allegheny County, Pennsylvania",1911,42,003,508000
"Census Tract 5094, Allegheny County, Pennsylvania",5292,42,003,509400
"Census Tract 5100, Allegheny County, Pennsylvania",1844,42,003,510000
"Census Tract 5120, Allegheny County, Pennsylvania",2389,42,003,512000
"Census Tract 5128, Allegheny County, Pennsylvania",1478,42,003,512800
"Census Tract 5129, Allegheny County, Pennsylvania",943,42,003,512900
"Census Tract 5138, Allegheny County, Pennsylvania",1841,42,003,513800
"Census Tract 5140, Allegheny County, Pennsylvania",2274,42,003,514000
"Census Tract 5151, Allegheny County, Pennsylvania",2671,42,003,515100
"Census Tract 5152, Allegheny County, Pennsylvania",2353,42,003,515200
"Census Tract 5153, Allegheny County, Pennsylvania",1728,42,003,515300
"Census Tract 5154.01, Allegheny County, Pennsylvania",2141,42,003,515401
"Census Tract 5161, Allegheny County, Pennsylvania",1380,42,003,516100
"Census Tract 5162, Allegheny County, Pennsylvania",1700,42,003,516200
"Census Tract 5170, Allegheny County, Pennsylvania",1674,42,003,517000
