0,1,2,3,4
NAME,S0801_C01_046E,state,county,tract
"Census Tract 5235.01, Allegheny County, Pennsylvania",31.2,42,003,523501
"Census Tract 5235.02, Allegheny County, Pennsylvania",23.2,42,003,523502
"Census Tract 5236, Allegheny County, Pennsylvania",26.2,42,003,523600
"Census Tract 5237.01, Allegheny County, Pennsylvania",31.3,42,003,523701
"Census Tract 5237.02, Allegheny County, Pennsylvania",32.3,42,003,523702
"Census Tract 5238, Allegheny County, Pennsylvania",29.6,42,003,523800
"Census Tract 5240, Allegheny County, Pennsylvania",23.3,42,003,524000
"Census Tract 5251, Allegheny County, Pennsylvania",23.8,42,003,525100
"Census Tract 5252, Allegheny County, Pennsylvania",29.9,42,003,525200
"Census Tract 5253, Allegheny County, Pennsylvania",25.3,42,003,525300
"Census Tract 5261.01, Allegheny County, Pennsylvania",32.2,42,003,526101
"Census Tract 5261.02, Allegheny County, Pennsylvania",26.2,42,003,526102
"Census Tract 5262.01, Allegheny County, Pennsylvania",28.1,42,003,526201
"Census Tract 5262.02, Allegheny County, Pennsylvania",26.5,42,003,526202
"Census Tract 5263.01, Allegheny County, Pennsylvania",31.2,42,003,526301
"Census Tract 5263.02, Allegheny County, Pennsylvania",29.0,42,003,526302
"Census Tract 5509, Allegheny County, Pennsylvania",30.0,42,003,550900
"Census Tract 5512, Allegheny County, Pennsylvania",23.2,42,003,551200
"Census Tract 5513, Allegheny County, Pennsylvania",29.3,42,003,551300
"Census Tract 5519, Allegheny County, Pennsylvania",38.3,42,003,551900
"Census Tract 5520, Allegheny County, Pennsylvania",32.9,42,003,552000
"Census Tract 5521, Allegheny County, Pennsylvania",18.8,42,003,552100
"Census Tract 5522, Allegheny County, Pennsylvania",29.1,42,003,552200
"Census Tract 5523, Allegheny County, Pennsylvania",23.8,42,003,552300
"Census Tract 5524, Allegheny County, Pennsylvania",26.9,42,003,552400
"Census Tract 5604, Allegheny County, Pennsylvania",24.7,42,003,560400
"Census Tract 5605, Allegheny County, Pennsylvania",25.1,42,003,560500
"Census Tract 5606, Allegheny County, Pennsylvania",26.0,42,003,560600
"Census Tract 5610, Allegheny County, Pennsylvania",28.5,42,003,561000
"Census Tract 5611, Allegheny County, Pennsylvania",34.6,42,003,561100
"Census Tract 5612, Allegheny County, Pennsylvania",21.0,42,003,561200
"Census Tract 5614, Allegheny County, Pennsylvania",30.7,42,003,561400
"Census Tract 5615, Allegheny County, Pennsylvania",31.2,42,003,561500
"Census Tract 5616, Allegheny County, Pennsylvania",27.4,42,003,561600
"Census Tract 5617, Allegheny County, Pennsylvania",31.9,42,003,561700
"Census Tract 5619, Allegheny County, Pennsylvania",29.5,42,003,561900
"Census Tract 5620, Allegheny County, Pennsylvania",19.2,42,003,562000
"Census Tract 5623, Allegheny County, Pennsylvania",26.6,42,003,562300
"Census Tract 5624, Allegheny County, Pennsylvania",27.0,42,003,562400
"Census Tract 5625, Allegheny County, Pennsylvania",25.0,42,003,562500
"Census Tract 5626, Allegheny County, Pennsylvania",21.8,42,003,562600
"Census Tract 5627, Allegheny County, Pennsylvania",24.0,42,003,562700
"Census Tract 5628, Allegheny County, Pennsylvania",21.7,42,003,562800
"Census Tract 5629, Allegheny County, Pennsylvania",27.0,42,003,562900
"Census Tract 5630, Allegheny County, Pennsylvania",25.8,42,003,563000
"Census Tract 5631, Allegheny County, Pennsylvania",25.4,42,003,563100
"Census Tract 5632, Allegheny County, Pennsylvania",22.7,42,003,563200
