"","NAME","state","county","tract","B05004_001E"
"287","Census Tract 4928, Allegheny County, Pennsylvania","42","003","492800",48
"288","Census Tract 4929, Allegheny County, Pennsylvania","42","003","492900",35
"289","Census Tract 4940, Allegheny County, Pennsylvania","42","003","494000",44.8
"290","Census Tract 4950, Allegheny County, Pennsylvania","42","003","495000",49
"291","Census Tract 4961.01, Allegheny County, Pennsylvania","42","003","496101",47.9
"292","Census Tract 4961.02, Allegheny County, Pennsylvania","42","003","496102",47.4
"293","Census Tract 4962, Allegheny County, Pennsylvania","42","003","496200",44.5
"294","Census Tract 4970, Allegheny County, Pennsylvania","42","003","497000",49
"295","Census Tract 4980, Allegheny County, Pennsylvania","42","003","498000",45.9
"296","Census Tract 4993, Allegheny County, Pennsylvania","42","003","499300",45
"297","Census Tract 4994, Allegheny County, Pennsylvania","42","003","499400",39.4
"298","Census Tract 5003, Allegheny County, Pennsylvania","42","003","500300",42.4
"299","Census Tract 5010, Allegheny County, Pennsylvania","42","003","501000",47
"300","Census Tract 5030.02, Allegheny County, Pennsylvania","42","003","503002",52.9
"301","Census Tract 5041, Allegheny County, Pennsylvania","42","003","504100",39.3
"302","Census Tract 5070, Allegheny County, Pennsylvania","42","003","507000",42.6
"303","Census Tract 5080, Allegheny County, Pennsylvania","42","003","508000",35.6
"304","Census Tract 5094, Allegheny County, Pennsylvania","42","003","509400",40.9
"305","Census Tract 5100, Allegheny County, Pennsylvania","42","003","510000",31.9
"306","Census Tract 5120, Allegheny County, Pennsylvania","42","003","512000",42.4
"307","Census Tract 5128, Allegheny County, Pennsylvania","42","003","512800",36.9
"308","Census Tract 5129, Allegheny County, Pennsylvania","42","003","512900",41.5
"309","Census Tract 5138, Allegheny County, Pennsylvania","42","003","513800",46.4
"310","Census Tract 5140, Allegheny County, Pennsylvania","42","003","514000",32.3
"311","Census Tract 5151, Allegheny County, Pennsylvania","42","003","515100",38.8
"312","Census Tract 5152, Allegheny County, Pennsylvania","42","003","515200",38.8
"313","Census Tract 5153, Allegheny County, Pennsylvania","42","003","515300",43.7
"314","Census Tract 5154.01, Allegheny County, Pennsylvania","42","003","515401",42.2
"315","Census Tract 5161, Allegheny County, Pennsylvania","42","003","516100",37.9
"316","Census Tract 5162, Allegheny County, Pennsylvania","42","003","516200",35
"317","Census Tract 5170, Allegheny County, Pennsylvania","42","003","517000",50.6
"318","Census Tract 5180.01, Allegheny County, Pennsylvania","42","003","518001",52.4
"319","Census Tract 5190, Allegheny County, Pennsylvania","42","003","519000",55.5
