"","NAME","state","county","tract","B19013_001E"
"309","Census Tract 5138, Allegheny County, Pennsylvania","42","003","513800",24551
"310","Census Tract 5140, Allegheny County, Pennsylvania","42","003","514000",25117
"311","Census Tract 5151, Allegheny County, Pennsylvania","42","003","515100",34063
"312","Census Tract 5152, Allegheny County, Pennsylvania","42","003","515200",46304
"313","Census Tract 5153, Allegheny County, Pennsylvania","42","003","515300",27396
"314","Census Tract 5154.01, Allegheny County, Pennsylvania","42","003","515401",55313
"315","Census Tract 5161, Allegheny County, Pennsylvania","42","003","516100",83203
"316","Census Tract 5162, Allegheny County, Pennsylvania","42","003","516200",68333
"317","Census Tract 5170, Allegheny County, Pennsylvania","42","003","517000",31000
"318","Census Tract 5180.01, Allegheny County, Pennsylvania","42","003","518001",80893
"319","Census Tract 5190, Allegheny County, Pennsylvania","42","003","519000",88605
"320","Census Tract 5200.01, Allegheny County, Pennsylvania","42","003","520001",57500
"321","Census Tract 5200.02, Allegheny County, Pennsylvania","42","003","520002",49663
"322","Census Tract 5211, Allegheny County, Pennsylvania","42","003","521100",72829
"323","Census Tract 5212, Allegheny County, Pennsylvania","42","003","521200",59712
"324","Census Tract 5213.01, Allegheny County, Pennsylvania","42","003","521301",36150
"325","Census Tract 5213.02, Allegheny County, Pennsylvania","42","003","521302",48794
"326","Census Tract 5214.01, Allegheny County, Pennsylvania","42","003","521401",55950
"327","Census Tract 5214.02, Allegheny County, Pennsylvania","42","003","521402",96897
"328","Census Tract 5215, Allegheny County, Pennsylvania","42","003","521500",61473
"329","Census Tract 5220, Allegheny County, Pennsylvania","42","003","522000",30902
"330","Census Tract 5231, Allegheny County, Pennsylvania","42","003","523100",45383
"331","Census Tract 5232, Allegheny County, Pennsylvania","42","003","523200",41282
"332","Census Tract 5233, Allegheny County, Pennsylvania","42","003","523300",51250
"333","Census Tract 5234, Allegheny County, Pennsylvania","42","003","523400",50337
"334","Census Tract 5235.01, Allegheny County, Pennsylvania","42","003","523501",50679
"335","Census Tract 5235.02, Allegheny County, Pennsylvania","42","003","523502",33056
"336","Census Tract 5236, Allegheny County, Pennsylvania","42","003","523600",66996
"337","Census Tract 5237.01, Allegheny County, Pennsylvania","42","003","523701",53867
"338","Census Tract 5237.02, Allegheny County, Pennsylvania","42","003","523702",44347
"339","Census Tract 5238, Allegheny County, Pennsylvania","42","003","523800",51728
"340","Census Tract 5240, Allegheny County, Pennsylvania","42","003","524000",37857
"341","Census Tract 5251, Allegheny County, Pennsylvania","42","003","525100",79926
"342","Census Tract 5252, Allegheny County, Pennsylvania","42","003","525200",50288
"343","Census Tract 5253, Allegheny County, Pennsylvania","42","003","525300",62460
"344","Census Tract 5261.01, Allegheny County, Pennsylvania","42","003","526101",90256
"345","Census Tract 5261.02, Allegheny County, Pennsylvania","42","003","526102",61818
"346","Census Tract 5262.01, Allegheny County, Pennsylvania","42","003","526201",71296
"347","Census Tract 5262.02, Allegheny County, Pennsylvania","42","003","526202",67557
"348","Census Tract 5263.01, Allegheny County, Pennsylvania","42","003","526301",68787
"349","Census Tract 5263.02, Allegheny County, Pennsylvania","42","003","526302",64647
"350","Census Tract 5509, Allegheny County, Pennsylvania","42","003","550900",20222
"351","Census Tract 5512, Allegheny County, Pennsylvania","42","003","551200",21441
"352","Census Tract 5513, Allegheny County, Pennsylvania","42","003","551300",50700
"353","Census Tract 5519, Allegheny County, Pennsylvania","42","003","551900",13353
"354","Census Tract 5520, Allegheny County, Pennsylvania","42","003","552000",36144
"355","Census Tract 5521, Allegheny County, Pennsylvania","42","003","552100",15137
"356","Census Tract 5522, Allegheny County, Pennsylvania","42","003","552200",24688
"357","Census Tract 5523, Allegheny County, Pennsylvania","42","003","552300",22659
"358","Census Tract 5524, Allegheny County, Pennsylvania","42","003","552400",38750
"359","Census Tract 5604, Allegheny County, Pennsylvania","42","003","560400",29971
"360","Census Tract 5605, Allegheny County, Pennsylvania","42","003","560500",53059
"361","Census Tract 5606, Allegheny County, Pennsylvania","42","003","560600",25750
"362","Census Tract 5610, Allegheny County, Pennsylvania","42","003","561000",31585
"363","Census Tract 5611, Allegheny County, Pennsylvania","42","003","561100",20262
"364","Census Tract 5612, Allegheny County, Pennsylvania","42","003","561200",32054
"365","Census Tract 5614, Allegheny County, Pennsylvania","42","003","561400",34147
"366","Census Tract 5615, Allegheny County, Pennsylvania","42","003","561500",29091
"367","Census Tract 5616, Allegheny County, Pennsylvania","42","003","561600",37586
