NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 2612, Allegheny County, Pennsylvania",1129,560,569,43.9,65000,42,3,261200,0.496014172,0.503985828,20.5,623,90.7,82.2,8.5,4.3,0.6,0
"Census Tract 2614, Allegheny County, Pennsylvania",1903,964,939,46.8,30366,42,3,261400,0.506568576,0.493431424,26.6,708,79.5,61,18.5,14.7,2.8,0
"Census Tract 2615, Allegheny County, Pennsylvania",1478,700,778,38.2,32768,42,3,261500,0.473612991,0.526387009,28.6,657,72.5,50.4,22.1,26.8,0,0
"Census Tract 2620, Allegheny County, Pennsylvania",2579,1210,1369,35.9,26339,42,3,262000,0.469174098,0.530825902,22.5,1009,76,70.2,5.8,17.2,0.2,3.2
"Census Tract 2701, Allegheny County, Pennsylvania",2451,1107,1344,38.3,52931,42,3,270100,0.451652387,0.548347613,21.4,1284,80.6,66.4,14.3,15.7,0,0
"Census Tract 2703, Allegheny County, Pennsylvania",2002,937,1065,45.3,38393,42,3,270300,0.468031968,0.531968032,22.4,858,71.9,59.3,12.6,14.7,5.5,0
"Census Tract 2704, Allegheny County, Pennsylvania",996,528,468,41.1,41087,42,3,270400,0.530120482,0.469879518,20.4,520,78.3,73.7,4.6,11.3,6.5,1.2
"Census Tract 2708, Allegheny County, Pennsylvania",2506,1254,1252,47.5,65709,42,3,270800,0.500399042,0.499600958,23.1,1273,92.2,80.7,11.5,5.5,1,0.9
"Census Tract 2715, Allegheny County, Pennsylvania",2705,1307,1398,30.7,36364,42,3,271500,0.483179298,0.516820702,26.4,1072,68.7,59.5,9.1,16,9.1,0.3
"Census Tract 2814, Allegheny County, Pennsylvania",2546,1089,1457,33.5,35417,42,3,281400,0.427729772,0.572270228,25.4,1059,74.5,62.6,11.9,21.6,2.5,0
"Census Tract 2815, Allegheny County, Pennsylvania",1381,649,732,38.8,49405,42,3,281500,0.469949312,0.530050688,24.6,718,90.7,84.4,6.3,6.4,0,0
"Census Tract 2901, Allegheny County, Pennsylvania",2066,1008,1058,37.1,34840,42,3,290100,0.487899322,0.512100678,27.4,943,80,70.8,9.1,10.6,3.4,0
"Census Tract 2902, Allegheny County, Pennsylvania",3903,1993,1910,36.8,38264,42,3,290200,0.510632847,0.489367153,27.1,1850,72.6,65.3,7.3,20.4,0.7,1.8
"Census Tract 2904, Allegheny County, Pennsylvania",3969,2013,1956,38.5,42708,42,3,290400,0.50718065,0.49281935,30.2,1695,80.5,71.4,9.1,12.5,1.6,1.4
"Census Tract 3001, Allegheny County, Pennsylvania",4210,1813,2397,29.6,30426,42,3,300100,0.43064133,0.56935867,29.6,1429,60.6,52.7,7.9,29.3,4.3,0
"Census Tract 3102, Allegheny County, Pennsylvania",3588,1781,1807,45.3,47554,42,3,310200,0.496376812,0.503623188,27.8,1500,92.1,74.4,17.7,3.9,0,0
"Census Tract 3103, Allegheny County, Pennsylvania",986,458,528,43.8,70221,42,3,310300,0.464503043,0.535496957,26.5,489,91.2,79.8,11.5,0,0,1.4
"Census Tract 3204, Allegheny County, Pennsylvania",2114,959,1155,40.4,45203,42,3,320400,0.453642384,0.546357616,26.5,900,84.6,64.3,20.2,12.7,0,0
"Census Tract 3206, Allegheny County, Pennsylvania",2188,1046,1142,38.4,51383,42,3,320600,0.478062157,0.521937843,26.7,1097,80.9,72.7,8.2,10.2,1.1,0
"Census Tract 3207, Allegheny County, Pennsylvania",1436,740,696,43.3,47891,42,3,320700,0.515320334,0.484679666,28.3,672,85.7,74.9,10.9,13.4,0,0
"Census Tract 4011, Allegheny County, Pennsylvania",4669,2187,2482,43.3,55154,42,3,401100,0.468408653,0.531591347,20.3,2361,92.3,85.3,7.1,0,3.6,0
"Census Tract 4012, Allegheny County, Pennsylvania",2967,1393,1574,44.7,30556,42,3,401200,0.469497809,0.530502191,20.5,1100,93.5,76.4,17.2,0.5,2.5,0
